"Genome_copies_mean","OPG","dpi","weightloss","EH_ID"
615157.74940051,11428.5714285714,4,3.3229491173,"LM0204"
105849.709415651,748251.748251748,7,-4.8286604361,"LM0204"
0,NA,1,0.9345794393,"LM0204"
0,NA,2,-0.5192107996,"LM0204"
251.251867664801,0,0,0,"LM0204"
589470.110117532,2540000,6,-3.4267912773,"LM0204"
NA,0,10,-4.984423676,"LM0204"
10693.9974833095,9943.18181818182,8,-6.0228452752,"LM0204"
943.08674332557,0,9,-6.6978193146,"LM0204"
4673.92415170893,0,3,-3.790238837,"LM0204"
1545879.30896922,47468.3544303797,5,2.7518172378,"LM0204"
1460709.52235816,3656015.03759398,6,4.0070713023,"LM0206"
341.152989993409,NA,1,-2.4749558044,"LM0206"
610.392323983311,0,3,-2.5338833235,"LM0206"
8491.55750506642,7407.40740740741,8,4.3606364172,"LM0206"
1336.74237974238,0,9,1.2964054213,"LM0206"
0,0,0,0,"LM0206"
NA,0,10,4.4195639364,"LM0206"
2155660.15853858,0,5,10.0176782557,"LM0206"
1157465.00357894,0,4,6.5409546258,"LM0206"
351.430954451552,NA,2,4.4784914555,"LM0206"
51243.5961128046,419444.444444444,7,0.4714201532,"LM0206"
72665.368003171,337349.397590361,8,0.4053271569,"LM0207"
3314153.51099099,2231132.0754717,6,9.5541401274,"LM0207"
29.242365429255,NA,2,3.1847133758,"LM0207"
86676.5181875742,148026.315789474,9,-0.6948465547,"LM0207"
2922609.78828031,480000,5,7.3537927041,"LM0207"
3291.76239239136,0,3,0.1158077591,"LM0207"
NA,0,0,0,"LM0207"
NA,0,10,-1.968731905,"LM0207"
1512242.75988614,1326923.07692308,7,3.2426172554,"LM0207"
445406.100771235,0,4,2.7793862189,"LM0207"
0,NA,1,-3.0689056167,"LM0207"
20036.6821618202,150000,9,-1.8404907975,"LM0208"
3404284.14537741,98958.3333333333,5,3.3304119194,"LM0208"
1054688.33187463,1118902.43902439,7,0.7011393514,"LM0208"
1890.6493952205,0,10,-0.2191060473,"LM0208"
279183.650855605,88483.1460674157,8,-2.7169149869,"LM0208"
2712641.4230638,0,4,0.3505696757,"LM0208"
39.4970809428788,NA,1,-1.4460999124,"LM0208"
151.038811317266,NA,2,-2.4978089395,"LM0208"
0,0,0,0,"LM0208"
3133989.18860941,856617.647058823,6,4.3382997371,"LM0208"
1238.25540311805,0,3,-5.8282208589,"LM0208"
2551.47212769069,0,10,-2.0823902218,"LM0209"
0,0,0,0,"LM0209"
8329.23508937941,13888.8888888889,8,-3.8478949751,"LM0209"
1830187.68556165,51801.8018018018,5,8.0126754187,"LM0209"
3019925.54979704,0,4,2.4898143957,"LM0209"
1412.20165926142,0,3,-0.5885015844,"LM0209"
241.797566884169,NA,2,-2.2634676324,"LM0209"
429967.081125149,610507.246376812,6,1.7202354006,"LM0209"
5910.59364349713,0,9,-4.6174739701,"LM0209"
264.956442034465,NA,1,0.5885015844,"LM0209"
163381.13592709,156976.744186047,7,-2.1729289271,"LM0209"
2083.74869402929,0,10,-13.9936102236,"LM0210"
3437.75223111449,0,9,-11.6932907348,"LM0210"
0,0,0,0,"LM0210"
325.036008941585,NA,2,0.7667731629,"LM0210"
121677.93836749,0,4,-2.6837060703,"LM0210"
1193151.69098918,195312.5,5,-1.8530351438,"LM0210"
940725.902139734,431318.681318681,6,-3.1948881789,"LM0210"
136321.008283257,106132.075471698,8,-7.9872204473,"LM0210"
150599.624875028,719565.217391304,7,-7.6677316294,"LM0210"
257.703953442666,NA,1,-1.9169329073,"LM0210"
577.028592802973,0,3,-2.7476038339,"LM0210"
865215.314581899,2132267.44186047,7,13.6050516648,"LM0211"
3186.49549242379,0,3,0.1148105626,"LM0211"
631526.153928082,0,4,2.1239954076,"LM0211"
5882.52512230705,NA,2,-1.9517795637,"LM0211"
272.280639660955,0,0,0,"LM0211"
207225.501331953,119369.369369369,8,0.9184845006,"LM0211"
4746697.19247311,328571.428571429,5,10.1607347876,"LM0211"
157.470188574362,NA,1,-1.607347876,"LM0211"
7718.33383462669,26595.7446808511,9,-1.7795637199,"LM0211"
1303122.28031244,925000,6,18.1400688863,"LM0211"
2275.92825229037,11235.9550561798,10,-2.9850746269,"LM0211"
3743.91817139278,20531.4009661836,9,4.031510658,"LM0212"
44478.6582131298,55555.5555555556,8,6.4874884152,"LM0212"
354.986433544322,NA,2,2.1779425394,"LM0212"
0,NA,1,0.1390176089,"LM0212"
807.456265624464,7462.68656716418,10,4.1705282669,"LM0212"
718779.573369405,0,4,10.0092678406,"LM0212"
662375.812528695,213333.333333333,7,8.8507877665,"LM0212"
1067142.45033243,2173529.41176471,6,13.4383688601,"LM0212"
0,0,0,0,"LM0212"
3629932.51798203,152173.913043478,5,11.4921223355,"LM0212"
1299.65501620605,0,3,2.4096385542,"LM0212"
NA,62500,9,-8.3170890188,"LM0213"
67067.8429091886,38265.306122449,8,-7.6673164392,"LM0213"
542148.350929076,770833.333333333,7,-0.2599090318,"LM0213"
1191066.14997756,184782.608695652,5,12.4756335283,"LM0213"
292.739158204429,0,0,0,"LM0213"
580570.533329444,11627.9069767442,4,4.2235217674,"LM0213"
7677669.24085287,1428571.42857143,6,8.8369070825,"LM0213"
130.041658595859,NA,1,0.3898635478,"LM0213"
2045.19877165341,0,3,-3.6387264457,"LM0213"
245.055871508285,NA,2,-1.2345679012,"LM0213"
1476.9388089042,0,10,-2.3391812865,"LM0213"
3018443.82357773,0,5,7.3641997813,"LM0214"
3429.54154449183,0,3,-3.1717098068,"LM0214"
626.101256242515,4347.82608695652,10,-3.317535545,"LM0214"
22432.4459060777,62874.251497006,8,2.0051039008,"LM0214"
NA,NA,1,1.4582573824,"LM0214"
0,0,0,0,"LM0214"
147.371296252734,NA,2,0.4374772147,"LM0214"
NA,94488.1889763779,9,-2.2602989428,"LM0214"
1197483.29858632,456066.945606695,7,9.1141086402,"LM0214"
396206.8854477,0,4,3.2446226759,"LM0214"
1897164.04197518,1370689.65517241,6,11.2650382793,"LM0214"
5477.42457775591,0,3,-1.6317991632,"LM0215"
535.94814871177,NA,2,-1.129707113,"LM0215"
627.095014426424,0,10,-4.8117154812,"LM0215"
14881.462481886,34539.4736842105,8,-3.8493723849,"LM0215"
345.357230627103,0,9,-5.6485355649,"LM0215"
0,0,0,0,"LM0215"
136.668994738156,NA,1,-0.1673640167,"LM0215"
648949.436847075,2151515.15151515,6,1.2133891213,"LM0215"
636793.829671691,17045.4545454545,4,3.9330543933,"LM0215"
2100228.52299904,53571.4285714286,5,6.6945606695,"LM0215"
126974.206610046,234496.124031008,7,-6.359832636,"LM0215"
42277.9518548108,140540.540540541,7,2.6673924878,"LM0216"
6966.48340821137,0,3,8.3287969516,"LM0216"
4514378.62637272,288461.538461538,5,18.0185084377,"LM0216"
618.562633511665,NA,2,10.2340772999,"LM0216"
9971.69669194251,0,8,7.2400653239,"LM0216"
537.969431030172,10135.1351351351,9,3.9194338596,"LM0216"
657321.991682664,1680555.55555556,6,7.8933043005,"LM0216"
555.493486925245,5376.34408602151,10,3.1573217202,"LM0216"
2948.55931040005,0,0,0,"LM0216"
157.684136463038,NA,1,6.8045726728,"LM0216"
1296413.84054092,4761.90476190476,4,11.3228089276,"LM0216"
14274.9794448089,0,3,1.8602029312,"LM0217"
0,NA,2,1.4092446449,"LM0217"
4793505.84452533,5376.34408602151,4,5.4678692221,"LM0217"
234.710489939905,0,0,0,"LM0217"
1414372.05760003,557692.307692308,5,4.7350620068,"LM0217"
206.212505978198,4934.21052631579,9,-6.0879368658,"LM0217"
15435.408326159,7281.55339805825,8,-3.2694475761,"LM0217"
334545.089337615,252100.840336134,7,-3.9458850056,"LM0217"
438.664510624394,NA,1,1.1273957159,"LM0217"
545795.185473392,1585877.86259542,6,1.916572717,"LM0217"
672.710733853109,0,10,-9.6392333709,"LM0217"
6532.89400136485,44585.9872611465,8,-2.8978388998,"LM0218"
151.211533946015,0,0,0,"LM0218"
1226111.29454728,207627.118644068,6,1.1787819253,"LM0218"
3972.05622886571,0,9,-0.1964636542,"LM0218"
0,NA,1,-0.3929273084,"LM0218"
344649.452238625,214887.640449438,7,-2.3084479371,"LM0218"
217487.440367727,0,4,-1.1787819253,"LM0218"
161.308372999822,NA,2,-1.9155206287,"LM0218"
1000.99110451466,0,3,0.7858546169,"LM0218"
119407.903613579,197916.666666667,5,2.2593320236,"LM0218"
54.3965033788501,5859.375,10,-2.7504911591,"LM0218"
2004.48105621042,0,3,-0.2631578947,"LM0219"
474717.034249322,0,4,-2.5789473684,"LM0219"
1558.21541468119,0,10,-2.1052631579,"LM0219"
206516.983925149,318597.56097561,7,-7.6315789474,"LM0219"
0,NA,2,-7.3157894737,"LM0219"
0,NA,1,-5.8421052632,"LM0219"
2206.25973759612,0,9,-8.7368421053,"LM0219"
0,0,0,0,"LM0219"
211378.840370085,14285.7142857143,5,-0.1578947368,"LM0219"
5806.80064298386,14814.8148148148,8,-9,"LM0219"
3559731.73765085,1675675.67567568,6,-5.8421052632,"LM0219"
0,NA,2,-2.9918864097,"LM0220"
1917.99055879814,6465.51724137931,9,0.3042596349,"LM0220"
283932.472412155,343137.254901961,7,3.1440162272,"LM0220"
40456.7046329574,6097.56097560976,4,1.724137931,"LM0220"
4991671.2569573,297297.297297297,5,7.7586206897,"LM0220"
2179499.90496836,2380165.2892562,6,2.6369168357,"LM0220"
49.2677240202325,13888.8888888889,10,0,"LM0220"
11991.5992163116,39062.5,8,0.1521298174,"LM0220"
0,0,0,0,"LM0220"
0,NA,1,-1.369168357,"LM0220"
825.457881730032,0,3,3.6511156187,"LM0220"
315868.416465481,22413.7931034483,8,5.5752660922,"LM0221"
1473.97383921063,0,10,5.1191079574,"LM0221"
1073935.71414048,230555.555555556,6,6.4875823619,"LM0221"
388964.30912399,553846.153846154,7,4.1561074506,"LM0221"
947046.142850436,98958.3333333333,5,4.4602128738,"LM0221"
0,NA,1,0.760263558,"LM0221"
0,0,0,0,"LM0221"
7455.39656518237,0,3,2.8890015205,"LM0221"
281657.466084756,0,4,-0.8616320324,"LM0221"
2209.5771660975,16826.9230769231,9,6.7410035479,"LM0221"
266.203868671177,NA,2,-1.4698428789,"LM0221"
198554.110223868,1238188.97637795,7,8.670279283,"LM0222"
0,0,0,0,"LM0222"
996876.965758558,264367.816091954,6,10.8795331388,"LM0222"
22321.6011511039,110000,8,2.5427261359,"LM0222"
1710110.56551553,55555.5555555556,5,9.8791162985,"LM0222"
1412.48880665902,49632.3529411765,9,1.1671529804,"LM0222"
5127.56652069717,5434.78260869565,4,6.8361817424,"LM0222"
141.037406269089,0,3,6.2942892872,"LM0222"
0,NA,2,0.6669445602,"LM0222"
0,NA,1,0.5418924552,"LM0222"
385.57681540241,0,10,0.5002084202,"LM0222"
1962.40160331641,0,9,-6.4158224795,"LM0223"
148.967507118431,0,0,0,"LM0223"
354.96373415222,NA,1,-3.2802701399,"LM0223"
1569180.56091598,59829.0598290598,6,-4.0520984081,"LM0223"
288587.941693933,9090.90909090909,4,-3.3285094067,"LM0223"
1986012.96683055,53846.1538461538,5,-3.2320308731,"LM0223"
853.742065524947,NA,2,-5.0168837434,"LM0223"
251868.664702113,109154.929577465,7,-5.6439942113,"LM0223"
2398.03297572743,0,3,1.3024602026,"LM0223"
2147.57284487181,5263.15789473684,8,-2.4602026049,"LM0223"
379.971430385213,8064.51612903226,10,-7.4770863483,"LM0223"
81752.051168256,13157.8947368421,8,-8.1728266528,"LM0224"
1624295.86578968,174418.604651163,6,5.8302967205,"LM0224"
1202.95167525315,4285.71428571429,10,-2.1863612702,"LM0224"
7117.88544642547,12437.8109452736,4,1.6137428423,"LM0224"
161.842448724845,NA,2,-3.695991671,"LM0224"
730631.346339013,85483.8709677419,7,-3.5398230088,"LM0224"
10034.405791858,6377.55102040816,9,-1.8219677251,"LM0224"
131.959299060417,0,0,0,"LM0224"
1332.06895338174,0,3,6.4549713691,"LM0224"
3220946.53606298,54487.1794871795,5,4.1644976575,"LM0224"
0,NA,1,-3.9042165539,"LM0224"
33.0704033638965,NA,1,1.0695187166,"LM0225"
962893.060351498,0,4,0.8556149733,"LM0225"
209.523035317338,NA,2,-2.1033868093,"LM0225"
2742.89314231972,0,9,-3.2798573975,"LM0225"
839341.829468491,93406.5934065934,6,1.6755793226,"LM0225"
7994849.93006083,64732.1428571428,5,3.743315508,"LM0225"
587217.249318447,180000,7,-1.8538324421,"LM0225"
6728.88422216568,0,10,-2.1033868093,"LM0225"
3968.68875911012,0,3,-7.6648841355,"LM0225"
0,0,0,0,"LM0225"
11461.4500465565,8333.33333333333,8,-3.5294117647,"LM0225"
92364.9283164612,13157.8947368421,8,-5.2770448549,"LM0226"
0,NA,1,-0.5277044855,"LM0226"
6925.99421855832,21084.3373493976,9,-4.0237467018,"LM0226"
347610.51634277,164948.453608247,7,-5.9366754617,"LM0226"
39378.6878053695,0,4,0.5277044855,"LM0226"
358.341804256518,NA,2,-3.4960422164,"LM0226"
31576.2091363192,0,3,-3.2981530343,"LM0226"
4720.71288244519,0,10,-4.1556728232,"LM0226"
1069854.14075,15151.5151515152,6,-4.1556728232,"LM0226"
0,0,0,0,"LM0226"
3010029.60835573,104166.666666667,5,5.4749340369,"LM0226"
